electrode_id	probe_id	location
0	NeuropixelsImec1	left dCA1
1	NeuropixelsImec1	left dCA1
2	NeuropixelsImec1	left dCA1
3	NeuropixelsImec1	left dCA1
4	NeuropixelsImec1	left dCA1
5	NeuropixelsImec1	left dCA1
6	NeuropixelsImec1	left dCA1
7	NeuropixelsImec1	left dCA1
8	NeuropixelsImec1	left dCA1
9	NeuropixelsImec1	left dCA1
10	NeuropixelsImec1	left dCA1
11	NeuropixelsImec1	left dCA1
12	NeuropixelsImec1	left dCA1
13	NeuropixelsImec1	left dCA1
14	NeuropixelsImec1	left dCA1
15	NeuropixelsImec1	left dCA1
16	NeuropixelsImec1	left dCA1
17	NeuropixelsImec1	left dCA1
18	NeuropixelsImec1	left dCA1
19	NeuropixelsImec1	left dCA1
20	NeuropixelsImec1	left dCA1
21	NeuropixelsImec1	left dCA1
22	NeuropixelsImec1	left dCA1
23	NeuropixelsImec1	left dCA1
24	NeuropixelsImec1	left dCA1
25	NeuropixelsImec1	left dCA1
26	NeuropixelsImec1	left dCA1
27	NeuropixelsImec1	left dCA1
28	NeuropixelsImec1	left dCA1
29	NeuropixelsImec1	left dCA1
30	NeuropixelsImec1	left dCA1
31	NeuropixelsImec1	left dCA1
32	NeuropixelsImec1	left dCA1
33	NeuropixelsImec1	left dCA1
34	NeuropixelsImec1	left dCA1
35	NeuropixelsImec1	left dCA1
36	NeuropixelsImec1	left dCA1
37	NeuropixelsImec1	left dCA1
38	NeuropixelsImec1	left dCA1
39	NeuropixelsImec1	left dCA1
40	NeuropixelsImec1	left dCA1
41	NeuropixelsImec1	left dCA1
42	NeuropixelsImec1	left dCA1
43	NeuropixelsImec1	left dCA1
44	NeuropixelsImec1	left dCA1
45	NeuropixelsImec1	left dCA1
46	NeuropixelsImec1	left dCA1
47	NeuropixelsImec1	left dCA1
48	NeuropixelsImec1	left dCA1
49	NeuropixelsImec1	left dCA1
50	NeuropixelsImec1	left dCA1
51	NeuropixelsImec1	left dCA1
52	NeuropixelsImec1	left dCA1
53	NeuropixelsImec1	left dCA1
54	NeuropixelsImec1	left dCA1
55	NeuropixelsImec1	left dCA1
56	NeuropixelsImec1	left dCA1
57	NeuropixelsImec1	left dCA1
58	NeuropixelsImec1	left dCA1
59	NeuropixelsImec1	left dCA1
60	NeuropixelsImec1	left dCA1
61	NeuropixelsImec1	left dCA1
62	NeuropixelsImec1	left dCA1
63	NeuropixelsImec1	left dCA1
64	NeuropixelsImec1	left dCA1
65	NeuropixelsImec1	left dCA1
66	NeuropixelsImec1	left dCA1
67	NeuropixelsImec1	left dCA1
68	NeuropixelsImec1	left dCA1
69	NeuropixelsImec1	left dCA1
70	NeuropixelsImec1	left dCA1
71	NeuropixelsImec1	left dCA1
72	NeuropixelsImec1	left dCA1
73	NeuropixelsImec1	left dCA1
74	NeuropixelsImec1	left dCA1
75	NeuropixelsImec1	left dCA1
76	NeuropixelsImec1	left dCA1
77	NeuropixelsImec1	left dCA1
78	NeuropixelsImec1	left dCA1
79	NeuropixelsImec1	left dCA1
80	NeuropixelsImec1	left dCA1
81	NeuropixelsImec1	left dCA1
82	NeuropixelsImec1	left dCA1
83	NeuropixelsImec1	left dCA1
84	NeuropixelsImec1	left dCA1
85	NeuropixelsImec1	left dCA1
86	NeuropixelsImec1	left dCA1
87	NeuropixelsImec1	left dCA1
88	NeuropixelsImec1	left dCA1
89	NeuropixelsImec1	left dCA1
90	NeuropixelsImec1	left dCA1
91	NeuropixelsImec1	left dCA1
92	NeuropixelsImec1	left dCA1
93	NeuropixelsImec1	left dCA1
94	NeuropixelsImec1	left dCA1
95	NeuropixelsImec1	left dCA1
96	NeuropixelsImec1	left dCA1
97	NeuropixelsImec1	left dCA1
98	NeuropixelsImec1	left dCA1
99	NeuropixelsImec1	left dCA1
100	NeuropixelsImec1	left dCA1
101	NeuropixelsImec1	left dCA1
102	NeuropixelsImec1	left dCA1
103	NeuropixelsImec1	left dCA1
104	NeuropixelsImec1	left dCA1
105	NeuropixelsImec1	left dCA1
106	NeuropixelsImec1	left dCA1
107	NeuropixelsImec1	left dCA1
108	NeuropixelsImec1	left dCA1
109	NeuropixelsImec1	left dCA1
110	NeuropixelsImec1	left dCA1
111	NeuropixelsImec1	left dCA1
112	NeuropixelsImec1	left dCA1
113	NeuropixelsImec1	left dCA1
114	NeuropixelsImec1	left dCA1
115	NeuropixelsImec1	left dCA1
116	NeuropixelsImec1	left dCA1
117	NeuropixelsImec1	left dCA1
118	NeuropixelsImec1	left dCA1
119	NeuropixelsImec1	left dCA1
120	NeuropixelsImec1	left dCA1
121	NeuropixelsImec1	left dCA1
122	NeuropixelsImec1	left dCA1
123	NeuropixelsImec1	left dCA1
124	NeuropixelsImec1	left dCA1
125	NeuropixelsImec1	left dCA1
126	NeuropixelsImec1	left dCA1
127	NeuropixelsImec1	left dCA1
128	NeuropixelsImec1	left dCA1
129	NeuropixelsImec1	left dCA1
130	NeuropixelsImec1	left dCA1
131	NeuropixelsImec1	left dCA1
132	NeuropixelsImec1	left dCA1
133	NeuropixelsImec1	left dCA1
134	NeuropixelsImec1	left dCA1
135	NeuropixelsImec1	left dCA1
136	NeuropixelsImec1	left dCA1
137	NeuropixelsImec1	left dCA1
138	NeuropixelsImec1	left dCA1
139	NeuropixelsImec1	left dCA1
140	NeuropixelsImec1	left dCA1
141	NeuropixelsImec1	left dCA1
142	NeuropixelsImec1	left dCA1
143	NeuropixelsImec1	left dCA1
144	NeuropixelsImec1	left dCA1
145	NeuropixelsImec1	left dCA1
146	NeuropixelsImec1	left dCA1
147	NeuropixelsImec1	left dCA1
148	NeuropixelsImec1	left dCA1
149	NeuropixelsImec1	left dCA1
150	NeuropixelsImec1	left dCA1
151	NeuropixelsImec1	left dCA1
152	NeuropixelsImec1	left dCA1
153	NeuropixelsImec1	left dCA1
154	NeuropixelsImec1	left dCA1
155	NeuropixelsImec1	left dCA1
156	NeuropixelsImec1	left dCA1
157	NeuropixelsImec1	left dCA1
158	NeuropixelsImec1	left dCA1
159	NeuropixelsImec1	left dCA1
160	NeuropixelsImec1	left dCA1
161	NeuropixelsImec1	left dCA1
162	NeuropixelsImec1	left dCA1
